,ADDRESS,SALARY,COMPANY,TITLE,LINK,DEGREE,EXP,TYPE,SKILL
0,Da Nang,,2Click Solutions," [DN] .NET Developer (Up to $1,500 NET) ",https://itviec.com/viec-lam-it/dn-net-developer-up-to-1-500-net-2click-solutions-4902,,, Sản phẩm ,.NET
1,Da Nang,,2Click Solutions," [DN] .NET Developer (Up to $1,500 NET) ",https://itviec.com/viec-lam-it/dn-net-developer-up-to-1-500-net-2click-solutions-4902,,, Sản phẩm ,C#
2,Da Nang,,2Click Solutions," [DN] .NET Developer (Up to $1,500 NET) ",https://itviec.com/viec-lam-it/dn-net-developer-up-to-1-500-net-2click-solutions-4902,,, Sản phẩm ,ASP.NET
3,Da Nang,,Brycen Vietnam, Java Dev (.NET/NodeJS) - 10mil - 20mil ,https://itviec.com/viec-lam-it/java-dev-net-nodejs-10mil-20mil-brycen-vietnam-3931,,, Dịch vụ ,Java
4,Da Nang,,Brycen Vietnam, Java Dev (.NET/NodeJS) - 10mil - 20mil ,https://itviec.com/viec-lam-it/java-dev-net-nodejs-10mil-20mil-brycen-vietnam-3931,,, Dịch vụ ,NodeJS
5,Da Nang,,Brycen Vietnam, Java Dev (.NET/NodeJS) - 10mil - 20mil ,https://itviec.com/viec-lam-it/java-dev-net-nodejs-10mil-20mil-brycen-vietnam-3931,,, Dịch vụ ,.NET
6,Da Nang,,COMINIT, 03 Web System Developers ,https://itviec.com/viec-lam-it/03-web-system-developers-cominit-2146,,, Sản phẩm ,PHP
7,Da Nang,,COMINIT, 03 Web System Developers ,https://itviec.com/viec-lam-it/03-web-system-developers-cominit-2146,,, Sản phẩm ,MySQL
8,Da Nang,,COMINIT, 03 Web System Developers ,https://itviec.com/viec-lam-it/03-web-system-developers-cominit-2146,,, Sản phẩm ,HTML5
9,Da Nang,,Evolable Asia, [DAD] 04 PHP Developers ($500 ~ $1000) ,https://itviec.com/viec-lam-it/dad-04-php-developers-500-1000-evolable-asia-1457,,, Dịch vụ ,PHP
10,Da Nang,,Evolable Asia, [DAD] 04 PHP Developers ($500 ~ $1000) ,https://itviec.com/viec-lam-it/dad-04-php-developers-500-1000-evolable-asia-1457,,, Dịch vụ ,JavaScript
11,Da Nang,,Evolable Asia, [DAD] 04 PHP Developers ($500 ~ $1000) ,https://itviec.com/viec-lam-it/dad-04-php-developers-500-1000-evolable-asia-1457,,, Dịch vụ ,NodeJS
12,Da Nang,,FPT Software, 10 Senior C/ C++ Developers ,https://itviec.com/viec-lam-it/senior-c-developer-fpt-software-0754,,2, Dịch vụ ,C++
13,Da Nang,,FPT Software, 10 Senior C/ C++ Developers ,https://itviec.com/viec-lam-it/senior-c-developer-fpt-software-0754,,2, Dịch vụ ,ERP
14,Da Nang,,FPT Software, 10 Senior C/ C++ Developers ,https://itviec.com/viec-lam-it/senior-c-developer-fpt-software-0754,,2, Dịch vụ ,C
15,Da Nang,,FPT Software, 10 Senior C/ C++ Developers ,https://itviec.com/viec-lam-it/senior-c-developer-fpt-software-0754,,2, Dịch vụ ,language
16,Da Nang,,GETZ GROUP, Hiring 10 .Net Developers - All level ,https://itviec.com/viec-lam-it/hiring-10-net-developers-all-level-getz-group-1959,Computer Science/ Information Technology or equivalent and at least 2 years working experience as a .Net Developer.,, Sản phẩm ,.NET
17,Da Nang,,GETZ GROUP, Hiring 10 .Net Developers - All level ,https://itviec.com/viec-lam-it/hiring-10-net-developers-all-level-getz-group-1959,Computer Science/ Information Technology or equivalent and at least 2 years working experience as a .Net Developer.,, Sản phẩm ,C#
18,Da Nang,,GETZ GROUP, Hiring 10 .Net Developers - All level ,https://itviec.com/viec-lam-it/hiring-10-net-developers-all-level-getz-group-1959,Computer Science/ Information Technology or equivalent and at least 2 years working experience as a .Net Developer.,, Sản phẩm ,MVC
19,Da Nang,,GETZ GROUP, Hiring 5 iOS Dev – Salary up to 1500USD ,https://itviec.com/viec-lam-it/hiring-5-ios-dev-salary-up-to-1500usd-getz-group-1009,Computer Science/ Information Technology or equivalent.,, Sản phẩm ,Mobile
20,Da Nang,,GETZ GROUP, Hiring 5 iOS Dev – Salary up to 1500USD ,https://itviec.com/viec-lam-it/hiring-5-ios-dev-salary-up-to-1500usd-getz-group-1009,Computer Science/ Information Technology or equivalent.,, Sản phẩm ,Apps
21,Da Nang,,GETZ GROUP, Hiring 5 iOS Dev – Salary up to 1500USD ,https://itviec.com/viec-lam-it/hiring-5-ios-dev-salary-up-to-1500usd-getz-group-1009,Computer Science/ Information Technology or equivalent.,, Sản phẩm ,Objective
22,Da Nang,,GETZ GROUP, Hiring 5 iOS Dev – Salary up to 1500USD ,https://itviec.com/viec-lam-it/hiring-5-ios-dev-salary-up-to-1500usd-getz-group-1009,Computer Science/ Information Technology or equivalent.,, Sản phẩm ,C
23,Da Nang,,GETZ GROUP, Hiring 5 iOS Dev – Salary up to 1500USD ,https://itviec.com/viec-lam-it/hiring-5-ios-dev-salary-up-to-1500usd-getz-group-1009,Computer Science/ Information Technology or equivalent.,, Sản phẩm ,iOS
24,Da Nang,,GETZ GROUP, Software Business Analyst ,https://itviec.com/viec-lam-it/software-business-analyst-getz-group-0534,Computer Science or a related technology.,3 years, Sản phẩm ,Agile
25,Da Nang,,GETZ GROUP, Software Business Analyst ,https://itviec.com/viec-lam-it/software-business-analyst-getz-group-0534,Computer Science or a related technology.,3 years, Sản phẩm ,UI-UX
26,Da Nang,,GETZ GROUP, Software Business Analyst ,https://itviec.com/viec-lam-it/software-business-analyst-getz-group-0534,Computer Science or a related technology.,3 years, Sản phẩm ,Business
27,Da Nang,,GETZ GROUP, Software Business Analyst ,https://itviec.com/viec-lam-it/software-business-analyst-getz-group-0534,Computer Science or a related technology.,3 years, Sản phẩm ,Analyst
28,Da Nang,,GETZ GROUP," Software System Architect (C#, ASP.NET) ",https://itviec.com/viec-lam-it/software-system-architect-c-asp-net-getz-group-0655,"Computer Science, Engineering, Information Technology, or related field.",5 years, Sản phẩm ,C#
29,Da Nang,,GETZ GROUP," Software System Architect (C#, ASP.NET) ",https://itviec.com/viec-lam-it/software-system-architect-c-asp-net-getz-group-0655,"Computer Science, Engineering, Information Technology, or related field.",5 years, Sản phẩm ,MVC
30,Da Nang,,GETZ GROUP," Software System Architect (C#, ASP.NET) ",https://itviec.com/viec-lam-it/software-system-architect-c-asp-net-getz-group-0655,"Computer Science, Engineering, Information Technology, or related field.",5 years, Sản phẩm ,ASP.NET
31,Da Nang,,GETZ GROUP, UI-UX Designer ,https://itviec.com/viec-lam-it/ui-ux-designer-getz-group-5842,,, Sản phẩm ,UI-UX
32,Da Nang,,GETZ GROUP, UI-UX Designer ,https://itviec.com/viec-lam-it/ui-ux-designer-getz-group-5842,,, Sản phẩm ,JavaScript
33,Da Nang,,GETZ GROUP, UI-UX Designer ,https://itviec.com/viec-lam-it/ui-ux-designer-getz-group-5842,,, Sản phẩm ,Designer
34,Da Nang,,JWS Việt Nam, Graphic Designer ( UI-UX ) ,https://itviec.com/viec-lam-it/graphic-designer-ui-ux-jws-viet-nam-5611,,, Dịch vụ ,Mobile
35,Da Nang,,JWS Việt Nam, Graphic Designer ( UI-UX ) ,https://itviec.com/viec-lam-it/graphic-designer-ui-ux-jws-viet-nam-5611,,, Dịch vụ ,Apps
36,Da Nang,,JWS Việt Nam, Graphic Designer ( UI-UX ) ,https://itviec.com/viec-lam-it/graphic-designer-ui-ux-jws-viet-nam-5611,,, Dịch vụ ,UI-UX
37,Da Nang,,JWS Việt Nam, Graphic Designer ( UI-UX ) ,https://itviec.com/viec-lam-it/graphic-designer-ui-ux-jws-viet-nam-5611,,, Dịch vụ ,Designer
38,Da Nang,,MTI TECHNOLOGY, Frontend Developer (HTML/CSS/JavaScript) ,https://itviec.com/viec-lam-it/frontend-developer-html-css-javascript-mti-technology-2718,,, Sản phẩm ,CSS
